water_id,catchment,groundwater,longterm_extraction_limit,
1,Macquarie,Bell Alluvial Groundwater Source,3299,
2,Macquarie,Cudgegong Alluvial Groundwater Source,2533,
3,Macquarie,Talbragar Alluvial Groundwater Source,3473,
4,Macquarie,Upper Macquarie Alluvial Groundwater Source,17935,
