dam_id,dam_name,full_supply_volume,flood_surcharge_volume,NSW_share_dam,storage_sequence,NSW_share_ARSRCP,
1,Windamere,368120,0,1,1,1,
2,Burrendong,1190060,572472,1,2,1,
