valley_name,day,ONA_TWS,ONA_HS,ONA_GS,GS_OFA,FPH,annual_total_flow,annual_regulated_flow
Macquarie,29/03/1890,60.357,0,14.72,0,0,5345,372.12
Macquarie,30/03/1890,60.357,0,22.41,0,0,4155.7,317.23
Macquarie,31/03/1890,60.356,0,0,0,0,3398.4,317.23
Macquarie,01/04/1890,44.768,0,0,0,0,2929.9,317.24
Macquarie,02/04/1890,44.767,0,9.00E-02,0,0,2618.3,309.08
Macquarie,03/04/1890,44.767,0,0.78,0,0,2368.1,298.36
Macquarie,04/04/1890,44.768,0,3.04,0,0,2174.8,300.5
Macquarie,05/04/1890,44.767,0,3.9,0,0,2041,300.49
Macquarie,06/04/1890,44.767,0,3.9,0,0,1933.3,300.65
Macquarie,07/04/1890,44.768,0,4.85,0,0,1831,300.5
Macquarie,08/04/1890,44.767,0,5.34,0,0,1743.7,300.65
Macquarie,09/04/1890,44.767,0,5.34,0,0,1659.4,300.5
Macquarie,10/04/1890,44.768,0,0,0,0,1503.3,300.65
Macquarie,11/04/1890,44.767,0,7.00E-02,0,0,46751,300.5
Macquarie,12/04/1890,44.767,0,0,1719.8,0,18567,296.69
Macquarie,13/04/1890,44.767,0,0.12,670.33,0,13599,296.53
Macquarie,14/04/1890,44.768,0,0,0,0,6708.2,300.66
Macquarie,15/04/1890,44.767,0,0.11,0,0,4551.7,300.49
Macquarie,16/04/1890,44.767,0,0,0,0,2923.6,296.36
Macquarie,17/04/1890,44.768,0,0.12,0,0,2291.1,296.36
Macquarie,18/04/1890,44.767,0,0,0,0,1978.3,296.36
Macquarie,19/04/1890,44.767,0,0.12,0,0,1796.2,296.36
Macquarie,20/04/1890,44.768,0,0,0,0,1667.7,296.37
Macquarie,21/04/1890,44.767,0,0.11,0,0,1569.1,296.36
Macquarie,22/04/1890,44.767,0,0,0,0,1480.4,296.36
Macquarie,23/04/1890,44.767,0,0.12,0,0,1400.9,568.1
Macquarie,24/04/1890,44.768,0,0,0,0,1326.2,639.06
Macquarie,25/04/1890,44.767,0,52.19,0,0,1258.6,634.88
Macquarie,26/04/1890,44.767,0,82.8,0,0,1205.3,608.65
Macquarie,27/04/1890,44.768,0,82.93,0,0,1140,610.47
Macquarie,28/04/1890,44.767,0,83.22,0,0,1090.7,610.48
Macquarie,29/04/1890,44.767,0,84.46,0,0,1042.3,393.53
Macquarie,30/04/1890,44.768,0,98.17,0,0,996.9,393.52
