Basin_name,Category,AL,WaterType,purpose_des,WSP,WS,ShareComponent,Purpose,Long,Lat
Macquarie,LOCAL WATER UTILITY,80AL700006,REG,DOMESTIC,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8700,J,148.594478,-32.252239
Macquarie,LOCAL WATER UTILITY,80AL700011,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2000,A,149.587012,-32.58838
Macquarie,LOCAL WATER UTILITY,80AL700014,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,600,A,149.469622,-32.375613
Macquarie,LOCAL WATER UTILITY,80AL700017,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,750,A,147.809894,-31.676755
Macquarie,LOCAL WATER UTILITY,80AL700020,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1855,A,148.961486,-32.552757
Macquarie,LOCAL WATER UTILITY,80AL700023,REG,TOWN WATER SUPPLY,LOCAL WATER UTILITY,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,300,A,148.810606,-32.430959
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700365,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,I,147.832931,-31.705921
Macquarie,SUPPLEMENTARY WATER,80AL700366,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1.2,I,147.832931,-31.705921
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700369,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,31550.5,I,148.236462,-32.220393
Macquarie,SUPPLEMENTARY WATER,80AL700370,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2587.2,I,148.236462,-32.220393
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700372,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2416,I,148.152051,-31.950007
Macquarie,SUPPLEMENTARY WATER,80AL700373,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,184.4,I,148.152051,-31.950007
Macquarie,DOMESTIC AND STOCK[STOCK],80AL700374,REG,IRRIGATION,DOMESTIC AND STOCK[STOCK],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,10,I,148.152051,-31.950007
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700385,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2592,J,148.125245,-31.928959
Macquarie,SUPPLEMENTARY WATER,80AL700386,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,197.8,J,148.125245,-31.928959
Macquarie,DOMESTIC AND STOCK,80AL700387,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,J,148.125245,-31.928959
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700391,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2056,I,148.025081,-31.870513
Macquarie,SUPPLEMENTARY WATER,80AL700392,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,182.8,I,148.031406,-31.875844
Macquarie,DOMESTIC AND STOCK[STOCK],80AL700393,REG,IRRIGATION,DOMESTIC AND STOCK[STOCK],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,10,I,148.031406,-31.875844
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700397,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3888,J,148.078309,-31.905666
Macquarie,SUPPLEMENTARY WATER,80AL700398,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,296.7,J,148.078309,-31.905666
Macquarie,DOMESTIC AND STOCK,80AL700399,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24,J,148.078309,-31.905666
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700404,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,7776,J,148.09535,-31.902434
Macquarie,SUPPLEMENTARY WATER,80AL700405,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,593.4,J,148.09535,-31.902434
Macquarie,DOMESTIC AND STOCK,80AL700406,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,64,J,148.09535,-31.902434
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700423,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2592,I,148.511741,-32.166623
Macquarie,SUPPLEMENTARY WATER,80AL700424,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,197.8,I,148.511732,-32.166576
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700428,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,492,I,147.472746,-31.504006
Macquarie,SUPPLEMENTARY WATER,80AL700429,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,37.5,I,147.472746,-31.504006
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700434,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,492,I,147.480966,-31.516365
Macquarie,SUPPLEMENTARY WATER,80AL700435,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,37.5,I,147.480966,-31.516365
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700440,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24,I,147.844334,-31.721585
Macquarie,SUPPLEMENTARY WATER,80AL700441,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24.7,I,147.844334,-31.721585
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700445,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1022,I,148.153794,-31.955118
Macquarie,SUPPLEMENTARY WATER,80AL700446,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,98.9,I,148.153794,-31.955118
Macquarie,DOMESTIC AND STOCK,80AL700450,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,J,148.817124,-32.465151
Macquarie,DOMESTIC AND STOCK,80AL700452,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24,J,148.455051,-32.191956
Macquarie,DOMESTIC AND STOCK,80AL700454,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,J,148.949345,-32.544399
Macquarie,REGULATED RIVER (HIGH SECURITY)[RESEARCH],80AL700457,REG,EXPERIMENTAL/RESEARCH,REGULATED RIVER (HIGH SECURITY)[RESEARCH],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24,X,149.110584,-32.675613
Macquarie,DOMESTIC AND STOCK[DOMESTIC],80AL700458,REG,EXPERIMENTAL/RESEARCH,DOMESTIC AND STOCK[DOMESTIC],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,6,X,149.110584,-32.675613
Macquarie,DOMESTIC AND STOCK,80AL700462,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,40,J,148.080929,-31.914893
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700472,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,68,I,147.725815,-31.454869
Macquarie,SUPPLEMENTARY WATER,80AL700473,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.2,I,147.725815,-31.454869
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700475,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,20,I,148.090627,-31.907638
Macquarie,SUPPLEMENTARY WATER,80AL700476,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1.5,I,148.090627,-31.907638
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700478,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,12,I,149.611537,-32.592104
Macquarie,SUPPLEMENTARY WATER,80AL700479,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,0.9,I,149.611537,-32.592104
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700481,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,200,I,148.689689,-32.387331
Macquarie,SUPPLEMENTARY WATER,80AL700482,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,15.3,I,148.689689,-32.387331
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700489,REG,HORTICULTURE,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,58,M,148.610335,-32.213829
Macquarie,SUPPLEMENTARY WATER,80AL700490,REG,HORTICULTURE,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4.4,M,148.610335,-32.213829
Macquarie,DOMESTIC AND STOCK,80AL700491,REG,HORTICULTURE,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8,M,148.610335,-32.213829
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700493,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,667,I,148.626328,-32.329198
Macquarie,SUPPLEMENTARY WATER,80AL700494,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,37.2,I,148.626328,-32.329198
Macquarie,REGULATED RIVER (HIGH SECURITY),80AL700496,REG,CITRUS PLANTINGS,REGULATED RIVER (HIGH SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,28,M1,147.842258,-31.70137
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700498,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,6,I,148.623594,-32.292447
Macquarie,SUPPLEMENTARY WATER,80AL700499,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4.3,I,148.623594,-32.292447
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700501,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,16,I,148.636029,-32.348236
Macquarie,SUPPLEMENTARY WATER,80AL700502,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8.9,I,148.636029,-32.348236
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700504,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,64,I,147.83549,-31.690065
Macquarie,SUPPLEMENTARY WATER,80AL700505,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4.9,I,147.83549,-31.690065
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700508,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,52,I,148.609585,-32.222252
Macquarie,SUPPLEMENTARY WATER,80AL700509,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4,I,148.609585,-32.222252
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700511,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,0,I,148.530702,-32.187118
Macquarie,SUPPLEMENTARY WATER,80AL700512,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,0,I,148.530702,-32.187118
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700514,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,132,I,147.893564,-31.75927
Macquarie,SUPPLEMENTARY WATER,80AL700515,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,10.1,I,147.893564,-31.75927
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700517,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,75,I,149.653303,-32.62679
Macquarie,SUPPLEMENTARY WATER,80AL700518,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.7,I,149.657469,-32.63385
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700520,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,36,I,147.862319,-31.739871
Macquarie,SUPPLEMENTARY WATER,80AL700521,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,2.7,I,147.862319,-31.739871
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700523,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,116,I,148.153165,-31.952678
Macquarie,SUPPLEMENTARY WATER,80AL700524,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8.9,I,148.153165,-31.952678
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700529,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,116,I,148.239295,-32.136067
Macquarie,SUPPLEMENTARY WATER,80AL700530,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,0,I,148.239295,-32.136067
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700532,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,40,J,147.83245,-31.681849
Macquarie,SUPPLEMENTARY WATER,80AL700533,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3.1,J,147.83245,-31.681849
Macquarie,DOMESTIC AND STOCK[DOMESTIC],80AL700534,REG,DOMESTIC,DOMESTIC AND STOCK[DOMESTIC],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3,J,147.83245,-31.681849
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700536,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4,I,147.858162,-31.72345
Macquarie,SUPPLEMENTARY WATER,80AL700537,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3.4,I,147.858162,-31.72345
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700539,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,68,I,148.151976,-31.949991
Macquarie,SUPPLEMENTARY WATER,80AL700540,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.2,I,148.151976,-31.949991
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700542,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,100,I,148.121451,-31.910524
Macquarie,SUPPLEMENTARY WATER,80AL700543,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,7.6,I,148.121451,-31.910524
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700545,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,312,I,148.244069,-32.109172
Macquarie,SUPPLEMENTARY WATER,80AL700546,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,23.8,I,148.244069,-32.109172
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700548,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,657,I,147.879723,-31.739955
Macquarie,SUPPLEMENTARY WATER,80AL700549,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1.5,I,148.088206,-31.914856
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700551,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,63,I,149.428371,-32.367382
Macquarie,SUPPLEMENTARY WATER,80AL700552,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4.8,I,149.428371,-32.367382
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700554,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,324,I,148.589012,-32.184064
Macquarie,SUPPLEMENTARY WATER,80AL700555,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,24.7,I,148.589012,-32.184064
Macquarie,DOMESTIC AND STOCK,80AL700557,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8,J,147.378765,-31.380767
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700563,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,51,I,149.680657,-32.659739
Macquarie,SUPPLEMENTARY WATER,80AL700564,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3.9,I,149.680657,-32.659739
Macquarie,SUPPLEMENTARY WATER,80AL700567,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,39.7,I,148.630695,-32.388622
Macquarie,REGULATED RIVER (HIGH SECURITY),80AL700572,REG,INDUSTRIAL - SAND & GRAVEL,REGULATED RIVER (HIGH SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,50,F,148.907361,-32.503949
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700574,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,81,I,149.5987,-32.594169
Macquarie,SUPPLEMENTARY WATER,80AL700575,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,6.2,I,149.5987,-32.594169
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700577,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,390,I,148.031406,-31.875844
Macquarie,SUPPLEMENTARY WATER,80AL700578,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,15,I,148.025081,-31.870513
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700583,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,63,I,149.745952,-32.693275
Macquarie,SUPPLEMENTARY WATER,80AL700584,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,4.8,I,149.745952,-32.693275
Macquarie,DOMESTIC AND STOCK,80AL700586,REG,AUGMENTATION,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8,L,147.20047,-31.3293
Macquarie,DOMESTIC AND STOCK[STOCK],80AL700590,REG,IRRIGATION,DOMESTIC AND STOCK[STOCK],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5,I,147.801176,-31.655661
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700592,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,68,I,147.810006,-31.671687
Macquarie,SUPPLEMENTARY WATER,80AL700593,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.2,I,147.810006,-31.671687
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700595,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,68,J,147.832203,-31.689162
Macquarie,SUPPLEMENTARY WATER,80AL700596,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.2,J,147.832203,-31.689162
Macquarie,DOMESTIC AND STOCK[DOMESTIC],80AL700597,REG,DOMESTIC,DOMESTIC AND STOCK[DOMESTIC],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,3,J,147.832203,-31.689162
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700599,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,68,I,148.603404,-32.234337
Macquarie,SUPPLEMENTARY WATER,80AL700600,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5.2,I,148.603404,-32.234337
Macquarie,DOMESTIC AND STOCK[STOCK],80AL700601,REG,IRRIGATION,DOMESTIC AND STOCK[STOCK],MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,5,I,148.603404,-32.234337
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700603,REG,DOMESTIC,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,1296,J,147.603295,-31.178
Macquarie,SUPPLEMENTARY WATER,80AL700604,REG,DOMESTIC,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,98.9,J,147.603295,-31.178
Macquarie,DOMESTIC AND STOCK,80AL700605,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8,J,147.603295,-31.178
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700607,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,132,I,148.606966,-32.220165
Macquarie,SUPPLEMENTARY WATER,80AL700608,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,10.1,I,148.606966,-32.220165
Macquarie,DOMESTIC AND STOCK,80AL700610,REG,DOMESTIC,DOMESTIC AND STOCK,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8,J,148.841889,-32.476692
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700612,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,116,I,147.843147,-31.71726
Macquarie,SUPPLEMENTARY WATER,80AL700613,REG,IRRIGATION,SUPPLEMENTARY WATER,MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,8.9,I,147.843147,-31.71726
Macquarie,REGULATED RIVER (GENERAL SECURITY),80AL700618,REG,IRRIGATION,REGULATED RIVER (GENERAL SECURITY),MACQUARIE AND CUDGEGONG REGULATED RIVERS WATER SOURCE 2016,424,I,148.469078,-32.181579
