Basin_name,Category,AL,WaterType,purpose_des,WSP,WS,ShareComponent,Purpose,Long,Lat
Manning,UNREGULATED RIVER,20AL205065,UNREG,FARMING,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,425,K,152.3245957,-31.90918896
Manning,UNREGULATED RIVER,20AL205067,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,32,I,152.3024648,-31.9169092
Manning,UNREGULATED RIVER,20AL205069,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,26,I,152.3013001,-31.91707422
Manning,UNREGULATED RIVER,20AL205071,UNREG,INDUSTRIAL,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,10,E,152.1374347,-31.8439132
Manning,UNREGULATED RIVER,20AL205073,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,200,I,152.2310395,-31.90905419
Manning,UNREGULATED RIVER,20AL205075,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,40,I,152.2980495,-31.91891475
Manning,UNREGULATED RIVER,20AL205077,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,355,W,152.3199694,-31.90403998
Manning,UNREGULATED RIVER,20AL205080,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,100,W,152.0675677,-32.02397412
Manning,UNREGULATED RIVER,20AL205082,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,123,W,152.0644658,-32.02286873
Manning,UNREGULATED RIVER,20AL205084,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,3,I,152.2568381,-31.98225522
Manning,UNREGULATED RIVER,20AL205086,UNREG,FARMING,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,145,K,152.364122,-31.89649186
Manning,UNREGULATED RIVER,20AL205088,UNREG,CITRUS PLANTINGS,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,25,M1,152.3218988,-31.9279306
Manning,UNREGULATED RIVER,20AL205090,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,70,I,152.3200436,-31.9054658
Manning,UNREGULATED RIVER,20AL205092,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,50,I,152.3197589,-31.90678144
Manning,UNREGULATED RIVER,20AL205094,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,265,I,152.1609337,-31.89003528
Manning,UNREGULATED RIVER,20AL205096,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,10,I,152.1598646,-31.89481865
Manning,UNREGULATED RIVER,20AL205108,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,60,I,152.0193939,-31.82800122
Manning,UNREGULATED RIVER,20AL205110,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,130,I,152.0288067,-31.83829474
Manning,UNREGULATED RIVER,20AL205114,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,130,I,151.9700817,-31.8059151
Manning,UNREGULATED RIVER,20AL205116,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,225,I,152.0192683,-31.83288988
Manning,UNREGULATED RIVER,20AL205118,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,29,I,152.0288315,-31.88130011
Manning,UNREGULATED RIVER,20AL205120,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,57,W,151.4612966,-31.53915982
Manning,UNREGULATED RIVER,20AL205168,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,20,I,152.058609,-31.82362425
Manning,UNREGULATED RIVER,20AL205170,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,67,I,152.0632245,-31.79136117
Manning,UNREGULATED RIVER,20AL205172,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,120,I,152.0552379,-31.80498785
Manning,UNREGULATED RIVER,20AL205174,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,100,I,152.0604831,-31.82011068
Manning,UNREGULATED RIVER,20AL205176,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,10,I,152.0585375,-31.79942796
Manning,UNREGULATED RIVER,20AL205178,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,25,I,151.720154,-31.52420452
Manning,UNREGULATED RIVER,20AL205180,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,21,I,152.0744796,-31.7865177
Manning,UNREGULATED RIVER,20AL205182,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,300,I,151.7159762,-31.49315584
Manning,UNREGULATED RIVER,20AL205184,UNREG,INDUSTRIAL,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,5,E,152.0596414,-31.79785734
Manning,UNREGULATED RIVER,20AL205186,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,20,W,151.7358536,-31.47828777
Manning,UNREGULATED RIVER,20AL205192,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,65,I,152.0458626,-31.67883179
Manning,UNREGULATED RIVER,20AL205194,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,50,I,152.0501022,-31.60116801
Manning,UNREGULATED RIVER,20AL205198,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,810,I,151.2712976,-31.57796521
Manning,UNREGULATED RIVER,20AL205210,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,100,I,151.7230707,-31.98946352
Manning,UNREGULATED RIVER,20AL205212,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,50,I,151.7072241,-31.94577748
Manning,UNREGULATED RIVER,20AL205214,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,35,I,151.6193113,-31.9236442
Manning,UNREGULATED RIVER,20AL205216,UNREG,INDUSTRIAL,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,5,E,151.6644679,-31.88092611
Manning,UNREGULATED RIVER,20AL205218,UNREG,INDUSTRIAL,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,23,E,151.8011024,-32.01621415
Manning,UNREGULATED RIVER,20AL205220,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,135,I,151.6885478,-31.95717773
Manning,UNREGULATED RIVER,20AL205222,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,150,I,151.7079099,-31.96631593
Manning,UNREGULATED RIVER,20AL205224,UNREG,IRRIGATION,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,150,I,151.7082411,-31.98950284
Manning,UNREGULATED RIVER,20AL205340,UNREG,CONSERVATION OF WATER,UNREGULATED RIVER,LOWER NORTH COAST UNREGULATED AND ALLUVIAL WATER SOURCES 2009,42,W,151.9164306,-32.0482212
