Catchment	Groundwater	longterm extraction limit (ML/year)
Macquarie	Bell Alluvial Groundwater Source	3299
Macquarie	Cudgegong Alluvial Groundwater Source	2533
Macquarie	Talbragar Alluvial Groundwater Source 	3473
Macquarie	Upper Macquarie Alluvial Groundwater Source	17935
