LGA,Volume treated,HBT index,Population,WSR,IndexRank
CABONNE,49,0.41,305,0.12,1
COONAMBLE,34,0.37,170,0.15,2
BREWARRINA,184,0.48,1629,0.17,3
LACHLAN,10,0.36,744,0.19,4
WALGETT,115,0.35,6791,0.23,5
WARREN,35,1,2872,0.23,6
NARROMINE,1039,1,6822,0.28,7
OBERON,616,0.14,5318,0.28,8
MID-WESTERN REGIONAL,358,0.14,3871,0.31,9
BOGAN,737,0.45,2906,0.33,10
ORANGE,55,0.15,41809,0.5,11
BATHURST REGIONAL,6757,0.14,42231,0.67,12
DUBBO REGIONAL,8223,0.45,41934,0.77,13
