Water source,Irrigated area,Population,Irrigation value ($),Mining value ($M),Employment (irrigation),Employment (mining),Total entitlement,Agriculture water use,Mining water use,Wetland area,Dissolved oxygen,Mean flow,Variation,Median,Days below mean,DSI,100 years flood frequency,Time below requirement,FUI,Water scarcity,Risk to mining productivity index,IndexRank
Lawsons Creek Water Source,128.1,2000,5213902,53.21,68,469,1496,807,0,245215.4,86.3,156.05,7.01,0,0.92,78.7,0.01,0.66,72.47,38201.01,0.11,11
Little River Water Source,636,9302,46926529,22.61,397,204,2270,1897,0,24.9,105.2,171.03,5.6,27,0.83,83.1,0.01,0.02,2.61,7659.78,0.11,12
Lower Bogan River Water Source,1610.3,1491,31114808,0.16,154,2,42208,40257.5,0,1076.5,86.3,149.83,7.01,0,0.92,78.7,0.01,0.32,14.49,21615.15,0.11,13
Lower Macquarie River Water Source,4395,926,33632155,0.14,123,1,48616,44163,0,13.2,97.1,72.18,4.24,12,0.85,82.2,0,0.03,7.31,4119.66,0.11,14
Lower Talbragar River Water Source,566.5,12819,34870381,14.3,304,137,2251,2192,0,0,75.4,55.14,8.77,2.58,0.88,83.6,0.02,0.13,1.84,10772.52,0.12,15
Macquarie River above Burrendong Water Source,543.6,10960,14595597,32.85,143,307,25586,6963,8,237878.2,98.2,231.64,2.86,41.49,0.83,76.3,0.29,0.65,57.5,91305.29,0.12,16
Marra Creek Water Source,1776.8,826,29846694,0.13,116,1,311.5,204,0,0,107,97.47,6.18,7,0.87,82.2,0.01,0.11,6.38,4132.85,0.12,17
Marthaguy Creek Water Source,3289.8,2613,67868338,0.26,303,3,7608,1795,0,298.7,97.1,257.24,2.69,89,0.78,85.6,0.01,0.09,19.25,16844.95,0.12,18
Maryvale Geurie Creek Water Source,1092.7,5112,10278147,5.68,93,54,639,602,0,743.3,100.2,47.35,12.22,6.37,0.92,89.8,0.01,0.06,8.66,9121.02,0.12,19
Molong Creek Water Source,479.9,1646,7314969,13.25,60,120,5616,3681,0,27.4,85.3,69.99,4.66,9.77,0.85,78.8,0,0.22,21.98,15521.31,0.12,20
Piambong Creek Water Source,344.4,2332,6078416,62.03,79,547,925,851,0,144.7,97.1,228.3,4.46,48.08,0.81,75.4,0,0,2.52,17680.53,0.14,21
Pipeclay Creek Water Source,503.1,875,2279828,23.26,30,205,446,367,0,1092.5,79.9,4.66,9.2,0.15,0.89,89,0.01,0.61,54.4,1212.44,0.14,22
Queen Charlottes Vale Evans Plains Creek Water Source,139.5,6395,9717907,19.02,95,178,1925,1784,18,4.7,79.9,77.64,9.2,2.54,0.89,89,0.01,0.02,2.61,11326.26,0.14,23
Summerhill Creek Water Source,197.3,36297,35049240,370.47,287,3369,11744,2799,47,1.3,105.2,548.27,4.46,61.37,0.82,78,0,0.15,12.79,18258.83,0.15,24
Turon Crudine River Water Source,2.2,8756,10842668,103.15,129,937,328,261,53,0,85.3,304.96,5.12,47.71,0.85,83.1,0.01,0.08,7.31,8716.3,0.18,25
Upper Bogan River Water Source,3711.7,11491,133535736,82.31,714,852,1729,643,300,90.4,100.2,151.42,5.99,29,0.84,75.4,0.01,0.1,11.67,24454.3,0.2,26
Upper Cudgegong River Water Source,11.4,2260,5882248,60.07,77,530,6451.5,2803,231,4412.4,86.3,106.59,7.01,0,0.92,78.7,0.01,0.26,4.44,3385.87,0.22,27
Upper Talbragar River Water Source,394.4,2091,14613608,26.6,134,236,370,370,0,19.9,107.8,291.41,5.54,49,0.85,79.7,0.01,0,0.31,12147.67,0.24,28
Wambangalong Whylandra Creek Water Source,834.8,6245,14709304,6.91,123,66,169,115,0,6473.5,97.3,333.54,7.04,27,0.84,78.8,0.01,0.01,0.47,12426.81,0.27,29
Winburndale Rivulet Water Source,19.1,8150,8944600,18.14,89,174,1629,497,18,304.4,105.2,193.51,4.66,27,0.85,78.8,0,0.13,16.63,1945.95,0.61,30
