Catchment,Groundwater,longterm extraction limit (ML/year)
Macquarie,Bell Alluvial Water Groundwater Source,3299.00
Macquarie,Cudgegong Alluvial Groundwater Source,2533.00
Macquarie,Talbragar Alluvial Groundwater Source ,3473.00
Macquarie,Upper Macquarie Alluvial Groundwater Source,17935.00
