Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Piambong Creek Water Source,0.758251254,0.9767154,1.025262988,1.025262988,0.9767154,0.928167812,1.025262988,0.952441606,0.9767154,0.9767154,0.952441606,0.928167812,0.9767154,0.9767154,1.000989194,0.928167812,0.928167812,0.709703666,0.952441606,1.025262988,1.025262988,0.49123952,0.85534643,1.000989194,0.952441606,1.000989194,0.952441606,0.9767154,0.9767154,1.025262988,1.000989194,0.831072636,1.000989194,1.000989194,0.928167812,0.903894018,1.000989194,1.000989194,1.025262988,1.000989194,1.025262988,1.025262988,1.025262988,0.903894018,1.000989194,0.879620224,1.000989194,1.025262988,0.879620224,1.000989194,0.199953992,0,1.000989194,0.9767154,1.000989194,0.952441606,0.636882284,0.9767154,1.000989194,0.806798842,0.928167812,0.9767154,0.928167812,0.806798842,0.928167812,1.025262988,1.000989194,1.025262988,1.025262988,1.000989194,0.9767154,0.758251254,0.879620224,1.000989194,0.199953992,0.9767154,0.85534643,0.903894018,0.9767154,0.442691932,1.000989194,1.025262988,0.85534643,1.025262988,0.806798842,0.9767154,0.928167812,0.952441606,0.952441606,0.85534643,0.831072636,1.000989194,0.952441606,1.025262988,1.000989194,1.000989194,0.928167812,0.73397746,0.915626352,0.707276287,0.555180739,0.595616834,1.004023418,1.011871945,0.943500758,0.842400406,0.792234565,1.021217355,0.935652232,0.972831593,0.924122179,0.489054879,0.744415191,0.928167812,1.004832544,1.010577342,0.834835074,0.769174461,1.000928509
Pipeclay Creek Water Source,0,0,0.442152193,0.442152193,0,0,0.442152193,0,0,0,0,0,0,0,0.210567547,0,0,0,0,0.442152193,0.442152193,0,0,0.210567547,0,0.210567547,0,0,0,0.442152193,0.210567547,0,0.210567547,0.210567547,0,0,0.210567547,0.210567547,0.442152193,0.210567547,0.442152193,0.442152193,0.442152193,0,0.210567547,0,0.210567547,0.442152193,0,0.210567547,0,0,0.210567547,0,0.210567547,0,0,0,0.210567547,0,0,0,0,0,0,0.442152193,0.210567547,0.442152193,0.442152193,0.225041587,0,0,0,0.210567547,0,0,0,0,0,0,0.210567547,0.442152193,0,0.442152193,0,0,0,0,0,0,0,0.210567547,0,0.442152193,0.210567547,0.210567547,0,0,0,0,0,0,0.239515628,0.314056936,0,0,0,0.404157837,0,0,0,0,0,0,0.24747635,0.302296778,0,0,0.209988585
Queen Charlottes Vale Evans Plains Creek Water Source,0,0,0,1.334251626,0,0,0,0,0,0,0,0,0,0,0.926718703,0.926718703,0,0,0,0,0.926718703,0,0,0,0,0,0,0,0,0.519185779,0.111652856,0,0,0,0,0,0,0,0.519185779,0,0,1.334251626,0.519185779,0,0,1.334251626,0.519185779,0.519185779,0,0,0,0,0,0,0,0,0,0,0.111652856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111652856,0.926718703,1.334251626,1.74178455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.910009853,0,0,0,0.620661477,0,0,0,0,0,0,0,0,0,0,0
Summerhill Creek Water Source,0,0,2.428910992,3.267357628,1.590464356,0.752017719,0.227988572,0,0.54240606,1.485658526,2.009687674,2.428910992,1.485658526,0.856823549,2.114493503,2.638522651,1.800076015,0,0,2.219299333,2.638522651,0,0.856823549,0.961629378,0.385197316,0.752017719,0.227988572,2.009687674,1.171241037,2.533716821,2.84813431,0,0,0.856823549,1.800076015,0,0.54240606,2.009687674,2.428910992,1.380852697,1.014032293,2.428910992,2.533716821,0,2.219299333,3.267357628,2.84813431,3.057745969,0,1.800076015,0,0,0,0,0.123182742,0,0,0.752017719,1.590464356,0,0,0,0,0.332794401,0,0.856823549,1.276046867,0.752017719,0.385197316,0,0,0,0,0,0,0,0,0,0,0.961629378,2.743328481,2.428910992,2.638522651,3.372163458,0,0.64721189,0.54240606,0,0.594808975,0,0,0.437600231,0,0,1.904881844,1.695270185,1.066435208,0.856823549,1.287575508,0,0,0,1.545397849,2.527428472,2.010735732,0.574895867,0.187533521,2.982180966,1.950419977,0.340130809,0.406158482,0,0,0.723720145,0.221700222,1.316921141,0.783983497,0,1.531249062
Turon Crudine River Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Upper Bogan River Water Source,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.626467895,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.298791859,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.753595319,0.774669919,0.774669919,0.774669919,0.774669919,0,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.107760809,0.774669919,0.774669919,0.774669919,0.774669919,0.468748309,0,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.040458055,0.733880371,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919,0.774669919
Upper Cudgegong River Water Source,0,0,2.803858578,2.230734602,0,0,2.803858578,0,0,0,0,0,0,0,0,0,0,0,0,1.657610625,2.421775927,0,0,0,0,0,0,0,0,0.702403997,0.320321346,0,0,0,0,0,0.12928002,0,2.039693276,0.511362671,2.230734602,2.612817253,2.230734602,0,0.12928002,0,0,1.466569299,0,0.893445323,0,0,0,0,1.084486648,0,0,0.12928002,0,0,0,0,0,0,0,1.084486648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.039693276,2.612817253,0,2.612817253,0,2.039693276,0.12928002,0,0,0,0,0,0,0.12928002,0,0.702403997,0,0.893445323,2.353192091,0,0,0,1.502485069,2.773291966,2.734128495,2.816467306,1.450139745,1.99842835,0,1.43638477,2.116109806,0,0,0,0.695717551,1.783888941,0.518049118,0,2.627909518
Upper Talbragar River Water Source,0.121633855,0,0,0,0,0,0.283700186,0.121633855,0.445766516,0.121633855,0,0,0,0,0,0.445766516,0.283700186,0,0,0.445766516,0.445766516,0,0,0.445766516,0.121633855,0.121633855,0.445766516,0,0,0.445766516,0.445766516,0,0,0.283700186,0,0,0.445766516,0,0.445766516,0,0.283700186,0.445766516,0.445766516,0,0.445766516,0,0,0.445766516,0,0,0,0,0,0,0,0,0,0,0.445766516,0,0,0,0,0,0,0.445766516,0.445766516,0.445766516,0.445766516,0.445766516,0,0,0,0.121633855,0,0,0,0,0,0,0.445766516,0.445766516,0,0.121633855,0,0,0.283700186,0.445766516,0,0,0,0,0,0,0.283700186,0.445766516,0.445766516,0.278838196,0.44252519,0,0,0,0,0.445766516,0.445766516,0.445766516,0.445766516,0.445766516,0.445766516,0.445766516,0.445766516,0,0,0,0.445766516,0.445766516,0.445766516,0,0.107290985
Wambangalong Whylandra Creek Water Source,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138549052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138549052,0,0.138549052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138549052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138549052,0,0,0,0,0,0,0,0,0.138549052,0,0,0.054766612,0,0,0,0,0.095820008,0.138549052,0,0
Winburndale Rivulet Water Source,0,0,0.062119468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464609513,0.464609513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330446165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598772861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01650393,0,0,0,0,0,0,0,0,0,0,0
