Water Sources,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lawsons Creek Water Source,0,0,0.75164379,0.531034664,0,0,0.75164379,0,0,0,0,0,0,0,0,0,0,0,0,0.16809707,0.531034664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457498289,0,0.457498289,0.604571039,0.457498289,0,0,0,0,0.089816412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.089816412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312797679,0.678107414,0,0.678107414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.308053397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121128675
Little River Water Source,0,0,1.550486231,1.550486231,1.183000858,0.815515485,0,0,0.080544739,0,0,0,0.080544739,0,1.550486231,0.080544739,0,0,0,1.183000858,1.550486231,0,0.815515485,1.550486231,0.448030112,0,0,0,0,0.815515485,1.183000858,0,0,0,0,0,0,0.080544739,0.815515485,0,0,0.448030112,1.550486231,0,0.815515485,1.917971604,1.917971604,2.285456977,0,0.448030112,0,0,0,0,0.080544739,0,0,1.183000858,0,0,0,0,0,0,0,1.550486231,2.285456977,1.917971604,2.285456977,0,0,0,0,1.183000858,0,0,0,0,0,0,1.917971604,1.550486231,1.183000858,2.285456977,0,0,0.815515485,0,0,0,0,0,0,0,0,1.183000858,0.815515485,1.550486231,2.285456977,0,0.117293277,0,1.257967874,1.73643383,1.828856401,1.320072902,1.174181209,2.285456977,0.697920166,1.399817228,2.064965753,0,0,0.966551974,1.099949164,2.173006453,2.285456977,0,0.070622634
Lower Bogan River Water Source,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,47.93221862,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,46.67418642,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.42029336,48.50120414,48.50120414,48.50120414,48.50120414,33.04985422,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,45.9407693,48.50120414,48.50120414,48.50120414,48.50120414,47.32669275,43.69092747,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,45.68237679,48.34460262,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414,48.50120414
Lower Macquarie River Water Source,25.12411304,22.5595525,45.43207703,43.64687126,32.75308146,35.14227719,43.40759217,45.25151919,41.39748802,47.36788083,40.106819,35.40113003,39.12913022,25.96937941,45.51037203,44.46976763,27.83148205,0,25.26392553,45.32422168,49.32765249,0,22.34783644,39.48884779,39.4049603,41.99748334,24.89242377,25.61625301,29.77966925,43.79027893,47.45256726,24.06153811,23.62312609,45.31703133,40.85781181,38.424675,39.30389584,40.16993435,46.34884751,42.46885116,43.75732313,47.03033353,41.31040481,20.4583705,40.06407632,42.63143311,45.97095432,48.91300859,24.19835462,26.12796672,20.53706495,0,18.96637149,19.83560572,31.3030262,33.90753316,0,0.145612931,39.70455849,20.33054193,29.20863509,28.5043796,36.06224338,23.56220779,24.54089522,40.91972877,49.01926608,41.81652603,31.45622074,28.42129103,18.40512421,21.09751331,28.17022775,21.98831861,0,2.885937747,15.49582601,25.67936836,25.93502549,24.7154611,43.58795028,50.5088683,41.42025748,46.65124195,29.21063241,40.32692381,45.10531527,36.61669977,30.70143302,18.26850743,0,0,20.89438573,32.18664114,31.90342098,48.87426055,46.5769416,26.56657848,43.20786004,20.69325548,16.52704299,15.12552264,31.61181207,50.41299688,47.29298128,44.88640886,42.12810815,40.09243829,42.22917261,46.2226168,44.91756707,23.67805242,18.88048667,24.98829519,43.41238574,46.32048555,41.24908705,16.60194254,29.31549178
Lower Talbragar River Water Source,2.100068899,1.288874123,1.559272382,0.207281089,0,0,2.370467157,2.100068899,2.640865416,2.100068899,0,0,0,0,0.477679347,2.640865416,2.370467157,0,1.288874123,2.640865416,2.640865416,0,1.82967064,2.640865416,2.100068899,2.100068899,2.640865416,0,0,2.640865416,2.640865416,0,1.288874123,2.370467157,0,0.748077606,2.640865416,0.207281089,2.640865416,0,2.370467157,2.640865416,2.640865416,1.018475865,2.640865416,0,1.288874123,2.640865416,0,1.018475865,0,0,0,1.559272382,0,0,0,0,2.640865416,0,0.477679347,1.288874123,0,0,0,2.640865416,2.640865416,2.640865416,2.640865416,2.640865416,1.559272382,0,0,2.100068899,0,0,0,0,0,0,2.640865416,2.640865416,0.748077606,2.100068899,0,0,2.370467157,2.640865416,0,0,0,0,0,0,2.370467157,2.640865416,2.640865416,2.36235521,2.635457451,0,0,0,0.431170847,2.640865416,2.640865416,2.640865416,2.640865416,2.640865416,2.640865416,2.640865416,2.640865416,0,0,0,2.640865416,2.640865416,2.640865416,0.979268117,2.076138653
Macquarie River above Burrendong Water Source,0,0,6.737370198,7.551139862,8.179417912,6.139010151,8.340975125,5.468846898,8.388843929,8.388843929,5.648354912,3.698897878,5.193601276,2.662538276,5.704600757,5.559797625,3.661799555,0,0,7.634910269,8.388843929,0,0.729835323,5.863764529,0.948835101,6.731386598,4.894421252,4.559339626,4.553356026,5.217535678,7.587041465,0,0,3.518193144,4.373848011,0,2.695448079,4.415733215,7.311795843,8.388843929,5.510732101,6.928845413,6.079174146,0,4.384020132,7.084419026,6.462124576,8.388843929,0,0,0,0,0,0,3.589996349,0,0,0,5.055978465,0,0,0,0,0,0,2.322669769,6.398698411,0,0,0,0,0,0,0,0,0,0,0,0,0,7.664828271,7.89699197,5.7428958,8.388843929,0,0.334917692,4.954257257,0,0,0,0,0,0.30499969,0,4.092618789,6.642829311,1.669260598,2.487936814,4.075027004,0,0,0,4.486818388,8.388843929,4.010643463,0,0,7.196432026,4.591830577,1.933352788,3.85327477,0,0,2.355579572,4.50596591,2.781731598,0.758855786,0,5.946804936
Marra Creek Water Source,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971,0.245773971
Marthaguy Creek Water Source,1.821851518,1.055753708,2.139226004,2.162339664,2.071071934,2.127035254,2.16049497,2.089736749,2.14866735,2.16236249,2.083719188,2.056743913,2.125219611,1.976855598,2.140263514,2.110694463,2.001340848,0,1.660414872,2.127192956,2.162465722,0,0.417477201,2.000822093,2.097569954,2.089944251,0,1.331316517,2.081747918,2.14181978,2.160060461,0.647804549,1.307401899,2.147007333,2.147007333,1.965442982,2.068156529,2.158347324,2.162552834,2.162568309,2.160131842,2.16049497,2.161532481,0,2.093542338,2.1597075,2.157199214,2.162417685,1.407262292,1.8004788,0,0,0,0,1.921348783,1.342936636,0,0,2.1241821,0,1.952992855,2.108619442,1.973743067,0.755705649,0,1.677637548,2.157382439,2.153232396,2.0603752,1.957142897,0,0.07302369,1.514074006,1.358499295,0,0,0,1.058658738,1.327373977,0,2.130147786,2.16236249,1.875179562,2.149082354,1.798922534,2.022713566,2.152402388,1.917302491,2.117282655,0,0,0,0.300134755,1.948220306,2.079392769,2.158419949,2.161532481,2.139309005,2.162227613,0,0,0,2.143479797,2.162466241,2.161516918,2.161947485,2.12615337,2.132482185,2.147007333,2.161843734,2.159561211,0.429927328,0,1.579063668,2.16034588,2.162523096,2.162559617,0,1.932502021
Maryvale Geurie Creek Water Source,0,0,0.470877348,0.470877348,0.343678937,0.216480526,0,0,0,0,0,0,0,0,0.470877348,0,0,0,0,0.343678937,0.470877348,0,0.216480526,0.470877348,0.089282115,0,0,0,0,0.216480526,0.343678937,0,0,0,0,0,0,0,0.216480526,0,0,0.089282115,0.470877348,0,0.216480526,0.598075759,0.598075759,0.72527417,0,0.089282115,0,0,0,0,0,0,0,0.343678937,0,0,0,0,0,0,0,0.470877348,0.72527417,0.598075759,0.72527417,0,0,0,0,0.343678937,0,0,0,0,0,0,0.598075759,0.470877348,0.343678937,0.72527417,0,0,0.216480526,0,0,0,0,0,0,0,0,0.343678937,0.216480526,0.470877348,0.72527417,0,0,0,0.369627413,0.535239744,0.567230144,0.391123944,0.340626175,0.72527417,0.175777034,0.418725999,0.648955123,0,0,0.268759073,0.314932096,0.686351456,0.72527417,0,0
Molong Creek Water Source,0,0,3.496486245,4.330520206,2.662452284,1.828418324,1.307147098,0.890130118,1.619909834,2.558198039,3.079469265,3.496486245,2.558198039,1.932672569,3.18372351,3.704994735,2.870960775,0,0.577367383,3.287977755,3.704994735,0,1.932672569,2.036926814,1.463528466,1.828418324,1.307147098,3.079469265,2.245435304,3.60074049,3.913503225,0,0,1.932672569,2.870960775,0,1.619909834,3.079469265,3.496486245,2.453943794,2.089053937,3.496486245,3.60074049,0.577367383,3.287977755,4.330520206,3.913503225,4.122011716,0,2.870960775,0,0,0,0,1.202892853,0.473113138,0,1.828418324,2.662452284,0,0.577367383,0.160350403,0.890130118,1.411401343,0.473113138,1.932672569,2.349689549,1.828418324,1.463528466,0,0,0.785875873,0,0.264604648,0,0,0,0,0,2.036926814,3.80924898,3.496486245,3.704994735,4.434774451,0,1.724164079,1.619909834,0,1.672036956,0,0,1.515655589,0.368858893,0,2.97521502,2.76670653,2.141181059,1.932672569,2.361157516,0,0,0.57632484,2.617622959,3.594485235,3.080511807,1.65222865,1.26690496,4.046844405,3.020513489,1.418699141,1.484379315,0,0.777535533,1.800269678,1.300891844,2.390348705,1.860215869,0.785875873,2.603548636
